"name","plataform","metascore","metascore_reviews","metascore_norm","metascore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"NBA 2K14","PlayStation 4",85,20,8.5,"ALTO",2013-11-12,"Sports/Traditional/Team/Basketball/Sim/Sim","Sports",0,"metascore"
"Life is Strange","PlayStation 4",85,23,8.5,"ALTO",2015-10-20,"Sci-Fi/Action Adventure/General","Sci-Fi",1,"metascore"
"Nioh: Bloodshed's End","PlayStation 4",85,8,8.5,"ALTO",2017-09-26,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Rocket League","PlayStation 4",85,50,8.5,"ALTO",2015-07-07,"Racing/Futuristic/Sports/Team/Soccer/Arcade","Racing",0,"metascore"
"Final Fantasy IX","PlayStation 4",85,14,8.5,"ALTO",2017-09-19,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"VA-11 Hall-A: Cyberpunk Bartender Action","PlayStation 4",85,7,8.5,"ALTO",2019-05-02,"Simulation/General","Simulation",1,"metascore"
"DJMax Respect","PlayStation 4",85,11,8.5,"ALTO",2018-03-06,"Action/Rhythm/Music","Action",1,"metascore"
"Pro Evolution Soccer 2017","PlayStation 4",85,62,8.5,"ALTO",2016-09-13,"Sports/Team/Soccer/Sim","Sports",0,"metascore"
"Resogun: Defenders","PlayStation 4",85,10,8.5,"ALTO",2015-02-17,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",1,"metascore"
"Ys VIII: Lacrimosa of DANA","PlayStation 4",85,39,8.5,"ALTO",2017-09-12,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Yakuza 0","PlayStation 4",85,87,8.5,"ALTO",2017-01-24,"Action Adventure/Open-World","Action Adventure",1,"metascore"
"MLB The Show 17","PlayStation 4",85,45,8.5,"ALTO",2017-03-28,"Sports/Team/Baseball/Sim","Sports",1,"metascore"
"Destiny 2","PlayStation 4",85,95,8.5,"ALTO",2017-09-06,"Action/Shooter/First-Person/Arcade","Action",0,"metascore"
"Assault Android Cactus","PlayStation 4",85,20,8.5,"ALTO",2016-03-08,"General/Scrolling/Action/Shooter/Shoot-'Em-Up/Top-Down","General",0,"metascore"
"Super Mega Baseball","PlayStation 4",85,14,8.5,"ALTO",2014-12-16,"Traditional/Sports/Team/Baseball/Arcade","Traditional",1,"metascore"
"Yakuza Kiwami 2","PlayStation 4",85,69,8.5,"ALTO",2018-08-28,"Action Adventure/Open-World","Action Adventure",1,"metascore"
"Rogue Legacy","PlayStation 4",85,22,8.5,"ALTO",2014-07-29,"Action/Platformer/Platformer/2D/2D","Action",1,"metascore"
"Wipeout: Omega Collection","PlayStation 4",85,53,8.5,"ALTO",2017-06-06,"Racing/Arcade/Futuristic","Racing",1,"metascore"
"Mortal Kombat XL","PlayStation 4",85,12,8.5,"ALTO",2016-03-01,"Action/Fighting/2D","Action",1,"metascore"
"Geometry Wars 3: Dimensions","PlayStation 4",85,25,8.5,"ALTO",2014-11-25,"Action/Shooter/Static/Shoot-'Em-Up/Top-Down","Action",0,"metascore"
"Ratchet & Clank","PlayStation 4",85,101,8.5,"ALTO",2016-04-12,"Action/Platformer/3D","Action",1,"metascore"
"MLB The Show 16","PlayStation 4",85,37,8.5,"ALTO",2016-03-29,"Sports/Team/Baseball/Arcade/Sim","Sports",1,"metascore"
"Valkyria Chronicles 4","PlayStation 4",85,46,8.5,"ALTO",2018-09-25,"Strategy/Turn-Based/Tactics","Strategy",1,"metascore"
"Far Cry 4","PlayStation 4",85,83,8.5,"ALTO",2014-11-18,"Action/Shooter/First-Person/Modern/Arcade","Action",0,"metascore"
"Moss","PlayStation 4",85,64,8.5,"ALTO",2018-02-27,"Action Adventure/General","Action Adventure",1,"metascore"
"Tomb Raider: Definitive Edition","PlayStation 4",85,54,8.5,"ALTO",2014-01-28,"Modern/Action Adventure/General/Modern/Linear","Modern",0,"metascore"
"Shadow Tactics: Blades of the Shogun","PlayStation 4",85,16,8.5,"ALTO",2017-08-01,"Strategy/Real-Time/Tactics","Strategy",1,"metascore"
"Super Meat Boy","PlayStation 4",85,7,8.5,"ALTO",2015-10-06,"Action/Platformer/2D","Action",1,"metascore"
"Pyre","PlayStation 4",85,48,8.5,"ALTO",2017-07-25,"Role-Playing/General","Role-Playing",1,"metascore"
"FIFA 17","PlayStation 4",85,42,8.5,"ALTO",2016-09-27,"Sports/Team/Soccer/Sim","Sports",0,"metascore"
