"name","plataform","userscore","userscore_reviews","userscore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"FIFA 14","PlayStation 4",6.3,709,"MEDIO",2013-11-12,"Sports/Traditional/Team/Soccer/Sim/Sim","Sports",0,"userscore"
"Pro Evolution Soccer 2016","PlayStation 4",7.2,713,"MEDIO",2015-09-15,"Sports/Team/Soccer/Sim","Sports",0,"userscore"
"Zero Escape: The Nonary Games","PlayStation 4",8.2,104,"ALTO",2017-03-24,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Wolfenstein II: The New Colossus","PlayStation 4",7.3,1299,"MEDIO",2017-10-27,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Odin Sphere Leifthrasir","PlayStation 4",8.2,269,"ALTO",2016-06-07,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Dark Souls II: Scholar of the First Sin","PlayStation 4",7.9,1071,"ALTO",2015-04-07,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Sonic Mania Plus","PlayStation 4",7.7,160,"ALTO",2018-07-17,"Action/Platformer/2D","Action",1,"userscore"
"NBA 2K16","PlayStation 4",6.7,436,"MEDIO",2015-09-25,"Action/General/Sports/Team/Basketball/Sim","Action",0,"userscore"
"Fallout 4","PlayStation 4",6.7,5458,"MEDIO",2015-11-10,"General/Role-Playing/Western-Style","General",0,"userscore"
"Uncharted: The Nathan Drake Collection","PlayStation 4",8.6,2700,"ALTO",2015-10-09,"Miscellaneous/Action Adventure/General/Compilation","Miscellaneous",1,"userscore"
"Tales from the Borderlands: A Telltale Game Series","PlayStation 4",8.1,521,"ALTO",2015-10-20,"Adventure/General","Adventure",1,"userscore"
"F1 2017","PlayStation 4",7.5,87,"ALTO",2017-08-25,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Velocity 2X","PlayStation 4",6.9,327,"MEDIO",2014-09-02,"Action/General/Shooter/Scrolling/Shoot-'Em-Up/Vertical","Action",1,"userscore"
"Stardew Valley","PlayStation 4",7.9,215,"ALTO",2016-12-13,"Role-Playing/General","Role-Playing",0,"userscore"
"Dragon Quest Builders 2","PlayStation 4",7.7,96,"ALTO",2019-07-12,"Role-Playing/General/Action Adventure/Sandbox","Role-Playing",1,"userscore"
"Steins;Gate Elite","PlayStation 4",7.3,56,"MEDIO",2019-02-19,"Action/Adventure/General/Visual Novel","Action",1,"userscore"
"Thimbleweed Park","PlayStation 4",7.6,51,"ALTO",2017-08-22,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Ni no Kuni: Wrath of the White Witch Remastered","PlayStation 4",8.2,142,"ALTO",2019-09-20,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Guilty Gear Xrd -REVELATOR-","PlayStation 4",8,146,"ALTO",2016-06-07,"Action/Fighting/2D","Action",1,"userscore"
"Final Fantasy XII: The Zodiac Age","PlayStation 4",8.4,560,"ALTO",2017-07-11,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Fell Seal: Arbiter's Mark","PlayStation 4",6.3,31,"MEDIO",2019-04-30,"Strategy/Turn-Based/General/Tactics","Strategy",1,"userscore"
"Sonic Mania","PlayStation 4",8,632,"ALTO",2017-08-15,"Action/Platformer/2D","Action",0,"userscore"
"MLB The Show 19","PlayStation 4",7.6,217,"ALTO",2019-03-26,"Sports/Team/Baseball/Sim","Sports",1,"userscore"
"Resident Evil 7: biohazard","PlayStation 4",8,3009,"ALTO",2017-01-24,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Beat Saber","PlayStation 4",8.2,142,"ALTO",2018-11-20,"Action/General","Action",1,"userscore"
"Final Fantasy XIV: Heavensward","PlayStation 4",8.3,394,"ALTO",2015-06-23,"Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer","Massively Multiplayer Online",1,"userscore"
"Final Fantasy XIV Online: A Realm Reborn","PlayStation 4",7.3,666,"MEDIO",2014-04-14,"Fantasy/Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy","Fantasy",1,"userscore"
"Dragon Quest XI: Echoes of an Elusive Age","PlayStation 4",8.7,908,"ALTO",2018-09-04,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Destiny: The Taken King","PlayStation 4",6.2,1098,"MEDIO",2015-09-15,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Guilty Gear Xrd: Rev 2","PlayStation 4",8,103,"ALTO",2017-05-26,"Action/Fighting/2D","Action",1,"userscore"
"OlliOlli2: Welcome to Olliwood","PlayStation 4",6.5,254,"MEDIO",2015-03-03,"Sports/Alternative/Individual/Skateboarding/Skate / Skateboard","Sports",1,"userscore"
"Resogun: Heroes","PlayStation 4",7.3,99,"MEDIO",2014-06-24,"Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Action",1,"userscore"
"DiRT Rally","PlayStation 4",7.9,289,"ALTO",2016-04-05,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Crypt of the NecroDancer","PlayStation 4",6.6,50,"MEDIO",2016-02-02,"Role-Playing/General/Action RPG","Role-Playing",1,"userscore"
"The Outer Worlds","PlayStation 4",8,1351,"ALTO",2019-10-25,"Role-Playing/Western-Style","Role-Playing",0,"userscore"
"Battlefield 4","PlayStation 4",7.1,2003,"MEDIO",2013-11-12,"Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade","Action",1,"userscore"
"Pillars of Eternity: Complete Edition","PlayStation 4",7.4,112,"MEDIO",2017-08-29,"Role-Playing/Western-Style","Role-Playing",0,"userscore"
"DOOM","PlayStation 4",8.4,2326,"ALTO",2016-05-13,"Sci-Fi/Third-Person/Action/Shooter/First-Person/Arcade","Sci-Fi",0,"userscore"
"NBA 2K14","PlayStation 4",6.5,385,"MEDIO",2013-11-12,"Sports/Traditional/Team/Basketball/Sim/Sim","Sports",0,"userscore"
"Life is Strange","PlayStation 4",8.6,1769,"ALTO",2015-10-20,"Sci-Fi/Action Adventure/General","Sci-Fi",1,"userscore"
"Nioh: Bloodshed's End","PlayStation 4",7.6,58,"ALTO",2017-09-26,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Rocket League","PlayStation 4",8.4,1768,"ALTO",2015-07-07,"Racing/Futuristic/Sports/Team/Soccer/Arcade","Racing",0,"userscore"
"Final Fantasy IX","PlayStation 4",8.5,339,"ALTO",2017-09-19,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"VA-11 Hall-A: Cyberpunk Bartender Action","PlayStation 4",6.5,33,"MEDIO",2019-05-02,"Simulation/General","Simulation",1,"userscore"
"DJMax Respect","PlayStation 4",7.8,47,"ALTO",2018-03-06,"Action/Rhythm/Music","Action",1,"userscore"
"Pro Evolution Soccer 2017","PlayStation 4",7.3,610,"MEDIO",2016-09-13,"Sports/Team/Soccer/Sim","Sports",0,"userscore"
"Resogun: Defenders","PlayStation 4",7.2,80,"MEDIO",2015-02-17,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",1,"userscore"
"Ys VIII: Lacrimosa of DANA","PlayStation 4",8.4,235,"ALTO",2017-09-12,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Yakuza 0","PlayStation 4",8.5,1125,"ALTO",2017-01-24,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"MLB The Show 17","PlayStation 4",6.9,155,"MEDIO",2017-03-28,"Sports/Team/Baseball/Sim","Sports",1,"userscore"
"Destiny 2","PlayStation 4",5,2380,"MEDIO",2017-09-06,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Assault Android Cactus","PlayStation 4",6.3,43,"MEDIO",2016-03-08,"General/Scrolling/Action/Shooter/Shoot-'Em-Up/Top-Down","General",0,"userscore"
"Super Mega Baseball","PlayStation 4",7.2,75,"MEDIO",2014-12-16,"Traditional/Sports/Team/Baseball/Arcade","Traditional",1,"userscore"
"Yakuza Kiwami 2","PlayStation 4",8.3,293,"ALTO",2018-08-28,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"Rogue Legacy","PlayStation 4",7.7,259,"ALTO",2014-07-29,"Action/Platformer/Platformer/2D/2D","Action",1,"userscore"
"Wipeout: Omega Collection","PlayStation 4",8,307,"ALTO",2017-06-06,"Racing/Arcade/Futuristic","Racing",1,"userscore"
"Mortal Kombat XL","PlayStation 4",7.7,516,"ALTO",2016-03-01,"Action/Fighting/2D","Action",1,"userscore"
"Geometry Wars 3: Dimensions","PlayStation 4",7.4,90,"MEDIO",2014-11-25,"Action/Shooter/Static/Shoot-'Em-Up/Top-Down","Action",0,"userscore"
"Ratchet & Clank","PlayStation 4",8.5,2040,"ALTO",2016-04-12,"Action/Platformer/3D","Action",1,"userscore"
"MLB The Show 16","PlayStation 4",7.3,184,"MEDIO",2016-03-29,"Sports/Team/Baseball/Arcade/Sim","Sports",1,"userscore"
"Valkyria Chronicles 4","PlayStation 4",8.1,173,"ALTO",2018-09-25,"Strategy/Turn-Based/Tactics","Strategy",1,"userscore"
"Far Cry 4","PlayStation 4",7.7,2209,"ALTO",2014-11-18,"Action/Shooter/First-Person/Modern/Arcade","Action",0,"userscore"
"Moss","PlayStation 4",8,194,"ALTO",2018-02-27,"Action Adventure/General","Action Adventure",1,"userscore"
"Tomb Raider: Definitive Edition","PlayStation 4",8.1,1614,"ALTO",2014-01-28,"Modern/Action Adventure/General/Modern/Linear","Modern",0,"userscore"
"Shadow Tactics: Blades of the Shogun","PlayStation 4",8.2,94,"ALTO",2017-08-01,"Strategy/Real-Time/Tactics","Strategy",1,"userscore"
"Super Meat Boy","PlayStation 4",6.9,161,"MEDIO",2015-10-06,"Action/Platformer/2D","Action",1,"userscore"
"Pyre","PlayStation 4",7.9,161,"ALTO",2017-07-25,"Role-Playing/General","Role-Playing",1,"userscore"
"FIFA 17","PlayStation 4",4.9,883,"BAIXO",2016-09-27,"Sports/Team/Soccer/Sim","Sports",0,"userscore"
"DiRT 4","PlayStation 4",7.5,168,"ALTO",2017-06-06,"Racing/Simulation/Automobile","Racing",0,"userscore"
"428: Shibuya Scramble","PlayStation 4",7.7,25,"ALTO",2018-09-04,"Action Adventure/General","Action Adventure",1,"userscore"
"Gone Home: Console Edition","PlayStation 4",4.6,477,"BAIXO",2016-01-12,"Adventure/3D/First-Person","Adventure",1,"userscore"
"Ni no Kuni II: Revenant Kingdom","PlayStation 4",7.5,813,"ALTO",2018-03-23,"Action RPG/Role-Playing/Japanese-Style","Action RPG",1,"userscore"
"Statik","PlayStation 4",7.9,57,"ALTO",2017-04-24,"Adventure/3D/First-Person","Adventure",1,"userscore"
"Valkyria Chronicles Remastered","PlayStation 4",8.1,221,"ALTO",2016-05-17,"Strategy/Turn-Based/Tactics","Strategy",1,"userscore"
"F1 2018","PlayStation 4",7.8,93,"ALTO",2018-08-24,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Kingdom Hearts HD I.5 + II.5 Remix","PlayStation 4",8.9,543,"ALTO",2017-03-28,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Middle-earth: Shadow of Mordor","PlayStation 4",8,2421,"ALTO",2014-09-30,"Fantasy/Action Adventure/Fantasy/Open-World","Fantasy",0,"userscore"
"Guilty Gear Xrd -SIGN-","PlayStation 4",7.9,216,"ALTO",2014-12-16,"Action/Fighting/2D","Action",1,"userscore"
"BlazBlue: Central Fiction","PlayStation 4",7.7,96,"ALTO",2016-11-01,"Action/Fighting/2D","Action",1,"userscore"
"Salt and Sanctuary","PlayStation 4",8.1,367,"ALTO",2016-03-15,"Action/Platformer/2D","Action",0,"userscore"
"Dark Souls Remastered","PlayStation 4",7.6,812,"ALTO",2018-05-25,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Day of the Tentacle Remastered","PlayStation 4",7.3,137,"MEDIO",2016-03-22,"Adventure/Point-and-Click","Adventure",1,"userscore"
"ZEN Pinball 2: South Park: Super-Sweet Pinball","PlayStation 4",6,28,"MEDIO",2014-10-14,"Action/Miscellaneous/Parlor/Pinball","Action",1,"userscore"
"DiRT Rally 2.0","PlayStation 4",5.7,155,"MEDIO",2019-02-26,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Deus Ex: Mankind Divided","PlayStation 4",7.6,958,"ALTO",2016-08-23,"Action Adventure/General","Action Adventure",0,"userscore"
"Thumper","PlayStation 4",7.3,100,"MEDIO",2016-10-10,"Action/Rhythm/Music","Action",0,"userscore"
"Axiom Verge","PlayStation 4",7.8,196,"ALTO",2015-03-31,"Sci-Fi/Action Adventure/General","Sci-Fi",1,"userscore"
"Polybius","PlayStation 4",7.2,53,"MEDIO",2017-05-09,"Action/Shooter/Rail","Action",1,"userscore"
"Uncharted: The Lost Legacy","PlayStation 4",8,1678,"ALTO",2017-08-22,"Action/Action Adventure/General","Action",1,"userscore"
"Wargroove","PlayStation 4",5.7,42,"MEDIO",2019-07-23,"Strategy/Turn-Based/Tactics","Strategy",0,"userscore"
"SoulCalibur VI","PlayStation 4",6.5,318,"MEDIO",2018-10-19,"Action/Fighting/3D","Action",0,"userscore"
"ZEN Pinball 2: Aliens Vs. Pinball","PlayStation 4",5.9,10,"MEDIO",2016-04-26,"Action/Pinball","Action",1,"userscore"
"Hatsune Miku: Project Diva Future Tone - Colorful Tone","PlayStation 4",7.7,73,"ALTO",2017-01-10,"Action/Rhythm/Music","Action",1,"userscore"
"Hatsune Miku: Project Diva Future Tone - Future Sound","PlayStation 4",7.5,74,"ALTO",2017-01-10,"Action/Rhythm/Music","Action",1,"userscore"
"Resogun","PlayStation 4",7.7,1036,"ALTO",2013-11-15,"Shooter/Scrolling/Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Shooter",1,"userscore"
"F1 2019","PlayStation 4",7.6,96,"ALTO",2019-06-25,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Lara Croft GO","PlayStation 4",5.7,58,"MEDIO",2016-12-03,"Strategy/Turn-Based/General","Strategy",1,"userscore"
"Oddworld: Abe's Oddysee - New 'n' Tasty","PlayStation 4",7.8,354,"ALTO",2014-07-22,"Platformer/2D/Action/Platformer/2D","Platformer",1,"userscore"
"Hitman - Episode 2: Sapienza","PlayStation 4",7,124,"MEDIO",2016-04-26,"Action Adventure/General","Action Adventure",0,"userscore"
"BioShock: The Collection","PlayStation 4",8.5,638,"ALTO",2016-09-13,"Action/Miscellaneous/Shooter/Compilation/First-Person/Arcade","Action",0,"userscore"
"Hitman","PlayStation 4",7.7,333,"ALTO",2016-10-31,"Modern/Action Adventure/General","Modern",1,"userscore"
"FIFA 18","PlayStation 4",3.5,1041,"BAIXO",2017-09-26,"Sports/Team/Soccer/Sim","Sports",0,"userscore"
"Final Fantasy X / X-2 HD Remaster","PlayStation 4",8.3,589,"ALTO",2015-05-12,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"Trine 2: Complete Story","PlayStation 4",7.6,342,"ALTO",2013-11-15,"Platformer/2D/Action/Platformer/2D","Platformer",1,"userscore"
"Assassin's Creed Origins: The Curse of the Pharaohs","PlayStation 4",7.6,138,"ALTO",2018-03-13,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"DmC: Devil May Cry Definitive Edition","PlayStation 4",7.6,674,"ALTO",2015-03-10,"Fantasy/Action Adventure/General/Linear","Fantasy",0,"userscore"
"Disgaea 1 Complete","PlayStation 4",7.5,53,"ALTO",2018-10-09,"Strategy/Turn-Based/Tactics","Strategy",1,"userscore"
"Pro Evolution Soccer 2018","PlayStation 4",7.2,345,"MEDIO",2017-09-12,"Sports/Team/Soccer/Sim","Sports",0,"userscore"
"Call of Duty: Black Ops 4","PlayStation 4",4,1580,"BAIXO",2018-10-12,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Guacamelee! 2","PlayStation 4",8.1,92,"ALTO",2018-08-21,"Action/Platformer/2D","Action",0,"userscore"
"FAR: Lone Sails","PlayStation 4",5.4,9,"MEDIO",2019-04-02,"Action/Platformer/2D","Action",1,"userscore"
"Bloodstained: Ritual of the Night","PlayStation 4",8.4,461,"ALTO",2019-06-18,"Action/Platformer/2D/Role-Playing/Action RPG","Action",0,"userscore"
"Assassin's Creed IV: Black Flag","PlayStation 4",7.9,2258,"ALTO",2013-11-12,"Action Adventure/Historic/Historic/Open-World","Action Adventure",1,"userscore"
"Crash Team Racing: Nitro-Fueled","PlayStation 4",6.9,706,"MEDIO",2019-06-21,"Racing/Arcade/Automobile","Racing",0,"userscore"
"Kingdom Hearts III","PlayStation 4",8,2321,"ALTO",2019-01-29,"Action RPG/Action Adventure/Fantasy/Role-Playing/Action RPG","Action RPG",0,"userscore"
"Prey: Mooncrash","PlayStation 4",7.1,51,"MEDIO",2018-06-11,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Darkest Dungeon","PlayStation 4",7.8,155,"ALTO",2016-09-27,"Role-Playing/General","Role-Playing",1,"userscore"
"Resident Evil HD Remaster","PlayStation 4",8.5,834,"ALTO",2015-01-20,"Horror/Action Adventure/Survival","Horror",0,"userscore"
"Puyo Puyo Tetris","PlayStation 4",7.3,54,"MEDIO",2017-04-25,"Puzzle/Stacking","Puzzle",1,"userscore"
"Call of Duty: Modern Warfare Remastered","PlayStation 4",7.1,557,"MEDIO",2016-11-04,"Arcade/Action/Shooter/First-Person/Tactical","Arcade",1,"userscore"
"ZEN Pinball 2: Portal Pinball","PlayStation 4",4.9,14,"BAIXO",2015-05-26,"Action/Pinball","Action",1,"userscore"
"Dragon Quest Builders","PlayStation 4",8.1,225,"ALTO",2016-10-11,"Action Adventure/Sandbox","Action Adventure",1,"userscore"
