"name","plataform","userscore","userscore_reviews","userscore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"Lichtspeer","PlayStation 4",6.6,5,"MEDIO",2016-09-27,"Action Adventure/General","Action Adventure",1,"userscore"
"Brut@l","PlayStation 4",6,14,"MEDIO",2016-08-09,"Action Adventure/General","Action Adventure",1,"userscore"
"Danganronpa Another Episode: Ultra Despair Girls","PlayStation 4",7.1,43,"MEDIO",2017-06-27,"Action Adventure/General","Action Adventure",1,"userscore"
"Vikings: Wolves of Midgard","PlayStation 4",6.6,54,"MEDIO",2017-03-28,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Crystar","PlayStation 4",9.6,1649,"ALTO",2019-08-27,"Role-Playing/General/Action RPG","Role-Playing",1,"userscore"
"InnerSpace","PlayStation 4",4.8,8,"BAIXO",2018-01-16,"Simulation/Flight/Civilian","Simulation",0,"userscore"
"Nelke & the Legendary Alchemists: Ateliers of the New World","PlayStation 4",3.5,15,"BAIXO",2019-03-26,"Role-Playing/General","Role-Playing",1,"userscore"
"How to Survive 2","PlayStation 4",6.2,30,"MEDIO",2017-02-06,"Action Adventure/Survival","Action Adventure",1,"userscore"
"White Night","PlayStation 4",7,56,"MEDIO",2015-03-03,"Action Adventure/Survival","Action Adventure",0,"userscore"
"We Happy Few","PlayStation 4",5.2,100,"MEDIO",2018-08-10,"Action Adventure/General","Action Adventure",0,"userscore"
"The Spectrum Retreat","PlayStation 4",3.9,7,"BAIXO",2018-07-10,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Assault Suit Leynos","PlayStation 4",6.9,12,"MEDIO",2016-07-14,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",1,"userscore"
"Steel Rats","PlayStation 4",7.2,27,"MEDIO",2018-11-07,"Simulation/Vehicle/Combat","Simulation",1,"userscore"
"My Memory of Us","PlayStation 4",5.9,9,"MEDIO",2018-10-09,"Action/Platformer/2D","Action",0,"userscore"
"King's Quest Chapter 4: Snow Place Like Home","PlayStation 4",5.4,15,"MEDIO",2016-09-27,"Adventure/General","Adventure",1,"userscore"
"Nights of Azure","PlayStation 4",7.2,96,"MEDIO",2016-03-29,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Nine Parchments","PlayStation 4",6.7,10,"MEDIO",2017-12-12,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Batman: The Enemy Within - Episode 2: The Pact","PlayStation 4",5.3,14,"MEDIO",2017-09-26,"Adventure/Point-and-Click","Adventure",1,"userscore"
"How We Soar","PlayStation 4",5.9,8,"MEDIO",2016-11-29,"Action/General","Action",1,"userscore"
"DreamWorks Voltron VR Chronicles","PlayStation 4",4.5,8,"BAIXO",2017-09-26,"Action/General","Action",1,"userscore"
"Sniper Elite III","PlayStation 4",6.9,226,"MEDIO",2014-07-01,"Shooter/Historic/Action/Shooter/Third-Person/Tactical/Historic","Shooter",0,"userscore"
"The Town of Light","PlayStation 4",6.5,30,"MEDIO",2017-06-06,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Gravel","PlayStation 4",6.5,44,"MEDIO",2018-02-27,"Racing/Arcade/Automobile","Racing",0,"userscore"
"White Day: A Labyrinth Named School","PlayStation 4",7.3,27,"MEDIO",2017-08-22,"Action Adventure/Survival","Action Adventure",1,"userscore"
"The Bradwell Conspiracy","PlayStation 4",6,10,"MEDIO",2019-10-08,"Adventure/3D/First-Person","Adventure",0,"userscore"
"The LEGO NINJAGO Movie Video Game","PlayStation 4",6.2,43,"MEDIO",2017-09-22,"Action Adventure/General/Linear","Action Adventure",0,"userscore"
"Batman: The Telltale Series - Episode 5: City of Light","PlayStation 4",6.5,28,"MEDIO",2016-12-13,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Shining Resonance Refrain","PlayStation 4",6.9,43,"MEDIO",2018-07-10,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Guns of Icarus Alliance","PlayStation 4",3.7,9,"BAIXO",2018-05-01,"Simulation/Space/Combat","Simulation",1,"userscore"
"Max: The Curse of Brotherhood","PlayStation 4",5.4,7,"MEDIO",2017-11-08,"Action Adventure/General","Action Adventure",0,"userscore"
"Shiness: The Lightning Kingdom","PlayStation 4",6.8,29,"MEDIO",2017-04-18,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Resident Evil 7: biohazard - Banned Footage Vol. 2","PlayStation 4",6.9,27,"MEDIO",2017-02-14,"Action Adventure/Survival","Action Adventure",1,"userscore"
"Super Mutant Alien Assault","PlayStation 4",3.8,5,"BAIXO",2016-07-12,"Action/Platformer/2D","Action",1,"userscore"
"Dex","PlayStation 4",7.1,19,"MEDIO",2016-07-12,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Fate/Extella: The Umbral Star","PlayStation 4",7,50,"MEDIO",2017-01-17,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Romance of the Three Kingdoms XIII","PlayStation 4",7.1,30,"MEDIO",2016-07-05,"Strategy/Turn-Based/4X","Strategy",1,"userscore"
"Mount & Blade: Warband","PlayStation 4",8,71,"ALTO",2016-09-13,"Role-Playing/Western-Style","Role-Playing",0,"userscore"
"Mini-Mech Mayhem","PlayStation 4",5.5,14,"MEDIO",2019-06-18,"Action/General","Action",1,"userscore"
"Dreamfall Chapters","PlayStation 4",6.8,39,"MEDIO",2017-05-05,"Fantasy/Adventure/3D/Third-Person","Fantasy",1,"userscore"
"Shenmue III","PlayStation 4",7.8,1093,"ALTO",2019-11-19,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"RAGE 2","PlayStation 4",5.8,566,"MEDIO",2019-05-14,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Thief","PlayStation 4",6.2,728,"MEDIO",2014-02-25,"Fantasy/Action Adventure/General/Fantasy","Fantasy",0,"userscore"
"Dissidia: Final Fantasy NT","PlayStation 4",7.3,366,"MEDIO",2018-01-30,"Action/Fighting/3D","Action",1,"userscore"
"State of Mind","PlayStation 4",6,22,"MEDIO",2018-08-15,"Action Adventure/Adventure/General/3D/Third-Person","Action Adventure",0,"userscore"
"CounterSpy","PlayStation 4",6.7,174,"MEDIO",2014-08-19,"Action/General","Action",1,"userscore"
"The Council - Episode 2: Hide and Seek","PlayStation 4",6.6,18,"MEDIO",2018-05-15,"Adventure/General","Adventure",0,"userscore"
"Redeemer: Enhanced Edition","PlayStation 4",7.2,20,"MEDIO",2019-07-19,"Action Adventure/Linear","Action Adventure",0,"userscore"
"World War Z","PlayStation 4",6.2,405,"MEDIO",2019-04-16,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Spintires: Mudrunner","PlayStation 4",7.3,42,"MEDIO",2017-10-31,"Simulation/Vehicle/Civilian","Simulation",0,"userscore"
"Monster Energy Supercross - The Official Videogame","PlayStation 4",4.6,66,"BAIXO",2018-02-13,"Racing/Arcade/Automobile","Racing",0,"userscore"
"The Little Acre","PlayStation 4",6.5,22,"MEDIO",2016-12-13,"Action Adventure/Linear","Action Adventure",0,"userscore"
"Super Daryl Deluxe","PlayStation 4",5,10,"MEDIO",2018-04-10,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Rocketbirds 2: Evolution","PlayStation 4",6.3,16,"MEDIO",2016-04-26,"Action/Platformer/2D","Action",1,"userscore"
"Agatha Christie's The ABC Murders","PlayStation 4",6,22,"MEDIO",2016-02-23,"Adventure/3D/Third-Person","Adventure",0,"userscore"
"TT Isle of Man: Ride On The Edge","PlayStation 4",6.2,25,"MEDIO",2018-03-06,"Racing/Arcade/Automobile","Racing",0,"userscore"
"WWE 2K18","PlayStation 4",5.5,149,"MEDIO",2017-10-13,"Sports/Individual/Combat/Wrestling","Sports",0,"userscore"
"Foul Play","PlayStation 4",4.6,12,"BAIXO",2016-02-23,"Action/Beat-'Em-Up/2D","Action",1,"userscore"
"Sparkle 2","PlayStation 4",6,33,"MEDIO",2014-05-20,"Action/Puzzle/General/Matching","Action",1,"userscore"
"Nights of Azure 2: Bride of the New Moon","PlayStation 4",7,36,"MEDIO",2017-10-24,"Action/General/Role-Playing/Action RPG","Action",1,"userscore"
"LEGO Worlds","PlayStation 4",6.4,61,"MEDIO",2017-03-07,"Action Adventure/Sandbox","Action Adventure",0,"userscore"
"Black The Fall","PlayStation 4",6.7,37,"MEDIO",2017-07-11,"Action/General","Action",0,"userscore"
"Driveclub VR","PlayStation 4",6.7,133,"MEDIO",2016-09-21,"Racing/Simulation/Automobile","Racing",1,"userscore"
"NASCAR Heat 2","PlayStation 4",5.7,25,"MEDIO",2017-09-12,"Racing/Simulation/Automobile","Racing",1,"userscore"
"The Incredible Adventures of Van Helsing: Extended Edition","PlayStation 4",6.3,15,"MEDIO",2017-02-28,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Super Stardust Ultra VR","PlayStation 4",6.6,18,"MEDIO",2016-10-10,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"userscore"
"One Piece: Burning Blood","PlayStation 4",7.2,91,"MEDIO",2016-05-31,"Action/Fighting/3D","Action",0,"userscore"
"Blue Reflection","PlayStation 4",7.2,41,"MEDIO",2017-09-26,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"H1Z1: Battle Royale","PlayStation 4",3.9,69,"BAIXO",2018-08-07,"Action/Action Adventure/Shooter/Survival/First-Person/Third-Person/Tactical/Arcade","Action",1,"userscore"
"NASCAR Heat Evolution","PlayStation 4",4.3,27,"BAIXO",2016-09-13,"Racing/Simulation/Automobile","Racing",1,"userscore"
"Ghostbusters: The Video Game Remastered","PlayStation 4",7,56,"MEDIO",2019-10-04,"Action/General","Action",0,"userscore"
"WRC 6: World Rally Championship","PlayStation 4",5.9,30,"MEDIO",2016-10-07,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Batman: The Telltale Series - Episode 2: Children of Arkham","PlayStation 4",6.8,37,"MEDIO",2016-09-20,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Rad Rodgers","PlayStation 4",5.4,13,"MEDIO",2018-02-21,"Action/Platformer/2D","Action",0,"userscore"
"RIDE","PlayStation 4",6.8,53,"MEDIO",2015-10-06,"Racing/Simulation/General/Automobile","Racing",0,"userscore"
"Hidden Agenda","PlayStation 4",6.6,130,"MEDIO",2017-10-24,"Miscellaneous/Party / Minigame","Miscellaneous",1,"userscore"
"The Last Tinker: City of Colors","PlayStation 4",6.1,54,"MEDIO",2014-08-19,"Action/Platformer/3D","Action",1,"userscore"
"Berserk and the Band of the Hawk","PlayStation 4",6.5,77,"MEDIO",2017-02-21,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"The Golf Club","PlayStation 4",6.4,70,"MEDIO",2014-08-19,"Traditional/Sports/Individual/Golf/Sim","Traditional",0,"userscore"
"MotoGP 18","PlayStation 4",4.9,26,"BAIXO",2018-06-07,"Racing/Simulation/Automobile","Racing",1,"userscore"
"MXGP: The Official Motocross Videogame","PlayStation 4",6.2,14,"MEDIO",2014-11-18,"Driving/Racing/Arcade/Motorcycle/Other/Motocross","Driving",1,"userscore"
"Battlezone","PlayStation 4",7.2,51,"MEDIO",2016-10-13,"Action/Simulation/Arcade/Vehicle/Combat","Action",1,"userscore"
"Bridge Constructor","PlayStation 4",6.7,6,"MEDIO",2016-12-13,"Simulation/Virtual/Career","Simulation",0,"userscore"
"City of Brass","PlayStation 4",4.8,17,"BAIXO",2018-05-04,"Action Adventure/General","Action Adventure",0,"userscore"
"Full Mojo Rampage","PlayStation 4",6,6,"MEDIO",2016-06-28,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"The Sims 4","PlayStation 4",3.8,207,"BAIXO",2017-11-17,"Simulation/Virtual/Virtual Life","Simulation",0,"userscore"
"Need for Speed","PlayStation 4",6.9,1252,"MEDIO",2015-11-03,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Among the Sleep","PlayStation 4",6.4,41,"MEDIO",2016-07-26,"Adventure/3D/First-Person","Adventure",1,"userscore"
"ToeJam & Earl: Back in the Groove","PlayStation 4",6.3,36,"MEDIO",2019-02-15,"Action/General/Platformer/2D","Action",0,"userscore"
"Home Sweet Home","PlayStation 4",6.4,25,"MEDIO",2018-10-16,"Action Adventure/Survival/Adventure/3D/First-Person","Action Adventure",1,"userscore"
"Saints Row IV: Re-Elected & Gat Out of Hell","PlayStation 4",6.7,43,"MEDIO",2015-01-20,"Action Adventure/General/Modern/Open-World","Action Adventure",1,"userscore"
"American Fugitive","PlayStation 4",5.5,17,"MEDIO",2019-05-21,"Action Adventure/Sandbox/Open-World","Action Adventure",0,"userscore"
"Punch Line","PlayStation 4",4.9,15,"BAIXO",2018-10-09,"Action/Adventure/General/Visual Novel","Action",1,"userscore"
"Oceanhorn: Monster of Uncharted Seas","PlayStation 4",7.6,64,"ALTO",2016-09-07,"Action Adventure/Open-World","Action Adventure",0,"userscore"
"Riverbond","PlayStation 4",5.3,10,"MEDIO",2019-06-09,"Action/General","Action",0,"userscore"
"Unepic","PlayStation 4",6.8,14,"MEDIO",2016-03-29,"Action/Platformer/2D","Action",1,"userscore"
"Senran Kagura Burst Re:Newal","PlayStation 4",4.7,46,"BAIXO",2019-01-22,"Action/Beat-'Em-Up/2D","Action",1,"userscore"
"MXGP2: The Official Motocross Videogame","PlayStation 4",6.5,24,"MEDIO",2016-06-21,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Final Fantasy XV: Episode Prompto","PlayStation 4",9,241,"ALTO",2017-06-27,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Tharsis","PlayStation 4",6.3,18,"MEDIO",2016-01-12,"Miscellaneous/Board / Card Game","Miscellaneous",1,"userscore"
"FOX n FORESTS","PlayStation 4",7.3,25,"MEDIO",2018-05-17,"Action/Platformer/2D","Action",0,"userscore"
"Dino Frontier","PlayStation 4",6.6,15,"MEDIO",2017-08-01,"Strategy/Management/Business / Tycoon","Strategy",1,"userscore"
"Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling","PlayStation 4",6.3,17,"MEDIO",2017-08-22,"Action/Adventure/General/3D/Third-Person","Action",0,"userscore"
"Dark Eclipse","PlayStation 4",6.7,18,"MEDIO",2018-09-25,"Action/General","Action",1,"userscore"
"Sniper Elite V2 Remastered","PlayStation 4",4,21,"BAIXO",2019-05-14,"Action/Shooter/Third-Person/Tactical","Action",0,"userscore"
"Baja: Edge of Control HD","PlayStation 4",6.3,11,"MEDIO",2017-09-14,"Racing/Simulation/Automobile","Racing",1,"userscore"
"F1 2015","PlayStation 4",6.4,56,"MEDIO",2015-07-21,"Racing/Simulation/Automobile","Racing",0,"userscore"
"The Solus Project","PlayStation 4",7.4,16,"MEDIO",2017-09-18,"Action/General","Action",1,"userscore"
"Genesis Alpha One","PlayStation 4",4.3,35,"BAIXO",2019-01-29,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"SingStar Celebration","PlayStation 4",6.1,9,"MEDIO",2017-10-24,"Action/Rhythm/Music","Action",1,"userscore"
"Warhammer 40.000: Inquisitor – Martyr","PlayStation 4",6.7,39,"MEDIO",2018-08-23,"Strategy/Real-Time/General","Strategy",0,"userscore"
"How to Survive: Storm Warning Edition","PlayStation 4",6.4,24,"MEDIO",2014-11-04,"Action Adventure/Horror/Survival","Action Adventure",1,"userscore"
"Just Cause 4","PlayStation 4",5,323,"MEDIO",2018-12-04,"Action Adventure/Open-World","Action Adventure",0,"userscore"
"Conarium","PlayStation 4",5.1,14,"MEDIO",2019-02-12,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Sniper Ghost Warrior Contracts","PlayStation 4",6.3,64,"MEDIO",2019-11-22,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Sword Art Online Re: Hollow Fragment","PlayStation 4",7.2,86,"MEDIO",2015-07-28,"Role-Playing/General/Action RPG","Role-Playing",1,"userscore"
"Dynasty Warriors 9","PlayStation 4",4.1,144,"BAIXO",2018-02-13,"Action/Action Adventure/Beat-'Em-Up/Open-World/3D","Action",0,"userscore"
"Super Motherload","PlayStation 4",6.6,91,"MEDIO",2013-11-15,"General/Puzzle/Miscellaneous/Puzzle/Action","General",1,"userscore"
"Birthdays the Beginning","PlayStation 4",6.5,13,"MEDIO",2017-05-09,"Strategy/Management/Business / Tycoon/Action Adventure/Sandbox","Strategy",1,"userscore"
"Party Hard","PlayStation 4",6.6,18,"MEDIO",2016-04-26,"Action/General","Action",0,"userscore"
"Blair Witch","PlayStation 4",6.3,26,"MEDIO",2019-12-03,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Xenoraid","PlayStation 4",6.2,6,"MEDIO",2016-11-08,"Action/Shooter/Shoot-'Em-Up/Vertical","Action",1,"userscore"
"Abyss Odyssey: Extended Dream Edition","PlayStation 4",5.4,9,"MEDIO",2015-07-28,"Action Adventure/Linear","Action Adventure",1,"userscore"
"Dusk Diver","PlayStation 4",6.9,9,"MEDIO",2019-10-29,"Action/Role-Playing/General/Action RPG","Action",1,"userscore"
"Shadow of the Beast","PlayStation 4",7.3,160,"MEDIO",2016-05-17,"Sci-Fi/Action Adventure/General","Sci-Fi",1,"userscore"
"The Silver Case","PlayStation 4",8.1,36,"ALTO",2017-04-18,"General/Adventure/Visual Novel","General",1,"userscore"
"The Crew 2","PlayStation 4",5.4,303,"MEDIO",2018-06-26,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Omen of Sorrow","PlayStation 4",5,68,"MEDIO",2018-11-06,"Action/Fighting/2D","Action",1,"userscore"
"Robinson: The Journey","PlayStation 4",6.7,88,"MEDIO",2016-11-08,"Action Adventure/General","Action Adventure",1,"userscore"
"Saints Row: Gat Out of Hell","PlayStation 4",5.6,152,"MEDIO",2015-01-20,"Action Adventure/General/Modern/Open-World","Action Adventure",0,"userscore"
"Sword Art Online: Fatal Bullet","PlayStation 4",7.3,107,"MEDIO",2018-02-23,"Action/Shooter/Third-Person/Arcade","Action",0,"userscore"
"Farming Simulator 19","PlayStation 4",5.1,60,"MEDIO",2018-11-20,"Simulation/Virtual/Career","Simulation",1,"userscore"
"Kerbal Space Program: Enhanced Edition","PlayStation 4",6.2,22,"MEDIO",2018-01-16,"Simulation/Space/Combat","Simulation",1,"userscore"
"Scribblenauts Showdown","PlayStation 4",6.9,9,"MEDIO",2018-03-06,"Puzzle/Action","Puzzle",1,"userscore"
"Secret Ponchos","PlayStation 4",6.6,108,"MEDIO",2014-12-02,"Action/Shooter/Shooter/First-Person/Historic/Historic/Arcade","Action",1,"userscore"
"King Oddball","PlayStation 4",4.9,37,"BAIXO",2014-04-08,"Miscellaneous/Puzzle/Action","Miscellaneous",1,"userscore"
"Symphony of the Machine","PlayStation 4",4.8,4,"BAIXO",2017-04-25,"Puzzle/General","Puzzle",1,"userscore"
"FATED: The Silent Oath","PlayStation 4",5.3,8,"MEDIO",2017-03-28,"Action Adventure/Adventure/General/3D/First-Person","Action Adventure",1,"userscore"
"Earth Defense Force 4.1: The Shadow of New Despair","PlayStation 4",7.5,73,"ALTO",2015-12-08,"Action/Shooter/Third-Person/Arcade","Action",1,"userscore"
"NASCAR Heat 3","PlayStation 4",5.4,17,"MEDIO",2018-09-07,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Crimsonland","PlayStation 4",6.2,38,"MEDIO",2014-07-15,"Action/Shooter/Scrolling/Shoot-'Em-Up/Top-Down/Vertical","Action",0,"userscore"
"Yonder: The Cloud Catcher Chronicles","PlayStation 4",7.7,52,"ALTO",2017-07-18,"Action Adventure/Open-World","Action Adventure",0,"userscore"
"Fallen Legion: Sins of an Empire","PlayStation 4",8.2,146,"ALTO",2017-07-18,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Fallout 4: Nuka-World","PlayStation 4",6,102,"MEDIO",2016-08-30,"Role-Playing/Western-Style","Role-Playing",1,"userscore"
"Gal*Gun: Double Peace","PlayStation 4",6.9,50,"MEDIO",2016-08-02,"Action/Shooter/Light Gun","Action",1,"userscore"
"Tom Clancy's The Division - Underground","PlayStation 4",5.7,29,"MEDIO",2016-06-28,"Action/Shooter/Third-Person/Tactical/Arcade","Action",0,"userscore"
"Tiny Brains","PlayStation 4",6.7,74,"MEDIO",2013-12-03,"Action/Puzzle/Miscellaneous/Puzzle/Action","Action",1,"userscore"
"The Caligula Effect: Overdose","PlayStation 4",6,22,"MEDIO",2019-03-12,"Role-Playing/General","Role-Playing",1,"userscore"
"TRON RUN/r","PlayStation 4",6.4,19,"MEDIO",2016-02-16,"Action/Platformer/3D","Action",1,"userscore"
"Dead by Daylight","PlayStation 4",5.3,236,"MEDIO",2017-06-20,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Knowledge is Power: Decades","PlayStation 4",5.9,17,"MEDIO",2018-11-13,"Miscellaneous/Trivia / Game Show","Miscellaneous",1,"userscore"
"Xenon Racer","PlayStation 4",5.8,28,"MEDIO",2019-03-26,"Racing/Arcade/Automobile","Racing",1,"userscore"
"Zombie Vikings","PlayStation 4",7,40,"MEDIO",2015-09-01,"Action/Beat-'Em-Up/2D","Action",1,"userscore"
"ChromaGun VR","PlayStation 4",5.1,14,"MEDIO",2019-02-19,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"Mulaka","PlayStation 4",7.2,20,"MEDIO",2018-02-27,"Action Adventure/General","Action Adventure",0,"userscore"
"The Sinking City","PlayStation 4",6.9,173,"MEDIO",2019-06-25,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Snooker 19","PlayStation 4",4.9,12,"BAIXO",2019-04-16,"Sports/Individual/Billiards","Sports",0,"userscore"
"The Council - Episode 5: Checkmate","PlayStation 4",6.1,9,"MEDIO",2018-12-04,"Adventure/General","Adventure",1,"userscore"
"Grand Ages: Medieval","PlayStation 4",6.5,22,"MEDIO",2015-10-13,"Strategy/Real-Time/General","Strategy",1,"userscore"
"Accel World vs. Sword Art Online: Millennium Twilight","PlayStation 4",6.6,17,"MEDIO",2017-07-07,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Danger Zone","PlayStation 4",6.3,9,"MEDIO",2017-05-30,"Racing/General/Arcade/Automobile","Racing",0,"userscore"
"Warframe","PlayStation 4",7.2,473,"MEDIO",2013-11-12,"General/General/Action/Shooter/Third-Person/Arcade","General",1,"userscore"
"Seasons After Fall","PlayStation 4",6.8,17,"MEDIO",2017-05-16,"Action/Platformer/2D","Action",1,"userscore"
"Kholat","PlayStation 4",6.1,37,"MEDIO",2016-03-08,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Darksiders III","PlayStation 4",7,505,"MEDIO",2018-11-27,"Action Adventure/Open-World","Action Adventure",0,"userscore"
"Track Lab","PlayStation 4",5,4,"MEDIO",2018-08-21,"Action/Rhythm/Music","Action",1,"userscore"
"Rainbow Skies","PlayStation 4",5.8,13,"MEDIO",2018-06-26,"Role-Playing/General","Role-Playing",1,"userscore"
"Wolfenstein: Youngblood","PlayStation 4",2.6,349,"BAIXO",2019-07-26,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Dead Island: Definitive Collection","PlayStation 4",6.5,94,"MEDIO",2016-05-31,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"The Witch and the Hundred Knight: Revival Edition","PlayStation 4",6.8,36,"MEDIO",2016-03-01,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"This Is the Police","PlayStation 4",6.5,30,"MEDIO",2017-03-22,"Simulation/Virtual/Virtual Life/Career","Simulation",1,"userscore"
"Neon Chrome","PlayStation 4",6.7,25,"MEDIO",2016-05-31,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",0,"userscore"
"Assassin's Creed Chronicles: India","PlayStation 4",4.3,79,"BAIXO",2016-01-13,"General/Action Adventure/Linear","General",0,"userscore"
"Airheart: Tales of Broken Wings","PlayStation 4",5.6,15,"MEDIO",2018-07-24,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"userscore"
"Windlands","PlayStation 4",7,25,"MEDIO",2016-10-25,"Adventure/3D/First-Person","Adventure",1,"userscore"
"Dynasty Warriors 8 Empires","PlayStation 4",6.8,61,"MEDIO",2015-02-24,"Action/Beat-'Em-Up/3D","Action",0,"userscore"
"Destiny: The Dark Below","PlayStation 4",3.1,277,"BAIXO",2014-12-09,"Sci-Fi/Action/Shooter/First-Person/Arcade","Sci-Fi",1,"userscore"
"Metal Wolf Chaos XD","PlayStation 4",6.2,26,"MEDIO",2019-08-06,"Simulation/Vehicle/Combat","Simulation",0,"userscore"
"Battle Princess Madelyn","PlayStation 4",5,20,"MEDIO",2018-12-20,"Action/Platformer/2D","Action",0,"userscore"
"Beholder: Complete Edition","PlayStation 4",7.1,10,"MEDIO",2018-01-16,"Strategy/General","Strategy",1,"userscore"
"PONCHO","PlayStation 4",3.6,7,"BAIXO",2015-11-03,"Action/Platformer/2D","Action",1,"userscore"
"Arcade Classics Anniversary Collection","PlayStation 4",3.9,7,"BAIXO",2019-04-18,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Space Junkies","PlayStation 4",3.4,5,"BAIXO",2019-03-26,"Action/Arcade","Action",1,"userscore"
"Fat Princess Adventures","PlayStation 4",7.1,52,"MEDIO",2015-12-05,"Action/Role-Playing/General/Action RPG","Action",1,"userscore"
"Citizens of Space","PlayStation 4",6.7,6,"MEDIO",2019-06-18,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Pang Adventures","PlayStation 4",5.3,9,"MEDIO",2016-04-19,"Action/Platformer/2D","Action",1,"userscore"
"Secret of Mana","PlayStation 4",6.1,120,"MEDIO",2018-02-15,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"8-Bit Hordes","PlayStation 4",3,7,"BAIXO",2019-02-01,"Strategy/Real-Time/Command","Strategy",1,"userscore"
"Stifled","PlayStation 4",6.2,9,"MEDIO",2017-10-31,"Adventure/3D/First-Person","Adventure",1,"userscore"
"Exile's End","PlayStation 4",6.3,4,"MEDIO",2016-10-25,"Action/Platformer/2D","Action",1,"userscore"
"Salary Man Escape VR","PlayStation 4",6.7,23,"MEDIO",2018-06-26,"Puzzle/Action","Puzzle",1,"userscore"
"The Order: 1886","PlayStation 4",6.7,3829,"MEDIO",2015-02-20,"General/General/Action/Action Adventure/Shooter/Linear/Third-Person/Sci-Fi/Arcade","General",1,"userscore"
"Travis Strikes Again: No More Heroes - Complete Edition","PlayStation 4",7.8,35,"ALTO",2019-10-17,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Neverwinter Nights: Enhanced Edition","PlayStation 4",3.8,12,"BAIXO",2019-12-03,"Role-Playing/Western-Style","Role-Playing",1,"userscore"
"Whispering Willows","PlayStation 4",6,31,"MEDIO",2015-06-30,"Adventure/General","Adventure",1,"userscore"
"Arizona Sunshine","PlayStation 4",6.5,57,"MEDIO",2017-07-05,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"The Occupation","PlayStation 4",3.5,12,"BAIXO",2019-03-05,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Destiny 2: Warmind","PlayStation 4",3,231,"BAIXO",2018-05-08,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Trailblazers","PlayStation 4",6,7,"MEDIO",2018-05-08,"Racing/Arcade/Futuristic","Racing",1,"userscore"
"Warhammer: Chaosbane","PlayStation 4",4.4,37,"BAIXO",2019-06-04,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Bubsy: Paws on Fire","PlayStation 4",7.6,117,"ALTO",2019-05-16,"Action/Platformer/2D","Action",1,"userscore"
"Planet Alpha","PlayStation 4",6.4,16,"MEDIO",2018-09-04,"Action/Platformer/2D","Action",0,"userscore"
"Call of Cthulhu","PlayStation 4",7,171,"MEDIO",2018-10-30,"Role-Playing/General","Role-Playing",0,"userscore"
