"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Guilty Gear Xrd -REVELATOR-","PlayStation 4",86,30,8,146,2016-06-07,"Action/Fighting/2D","Action",8.6,"ALTO","ALTO",0.6,0.6,1
"Final Fantasy XII: The Zodiac Age","PlayStation 4",86,75,8.4,560,2017-07-11,"Role-Playing/Japanese-Style","Role-Playing",8.6,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Fell Seal: Arbiter's Mark","PlayStation 4",86,7,6.3,31,2019-04-30,"Strategy/Turn-Based/General/Tactics","Strategy",8.6,"ALTO","MEDIO",2.3,2.3,1
"MLB The Show 19","PlayStation 4",86,31,7.6,217,2019-03-26,"Sports/Team/Baseball/Sim","Sports",8.6,"ALTO","ALTO",1,1,1
"Beat Saber","PlayStation 4",86,24,8.2,142,2018-11-20,"Action/General","Action",8.6,"ALTO","ALTO",0.4,0.4,1
"Final Fantasy XIV: Heavensward","PlayStation 4",86,20,8.3,394,2015-06-23,"Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer","Massively Multiplayer Online",8.6,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Final Fantasy XIV Online: A Realm Reborn","PlayStation 4",86,35,7.3,666,2014-04-14,"Fantasy/Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy","Fantasy",8.6,"ALTO","MEDIO",1.3,1.3,1
"Dragon Quest XI: Echoes of an Elusive Age","PlayStation 4",86,86,8.7,908,2018-09-04,"Role-Playing/Japanese-Style","Role-Playing",8.6,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,1
"Guilty Gear Xrd: Rev 2","PlayStation 4",86,35,8,103,2017-05-26,"Action/Fighting/2D","Action",8.6,"ALTO","ALTO",0.6,0.6,1
"OlliOlli2: Welcome to Olliwood","PlayStation 4",86,34,6.5,254,2015-03-03,"Sports/Alternative/Individual/Skateboarding/Skate / Skateboard","Sports",8.6,"ALTO","MEDIO",2.1,2.1,1
"Resogun: Heroes","PlayStation 4",86,10,7.3,99,2014-06-24,"Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Action",8.6,"ALTO","MEDIO",1.3,1.3,1
"Crypt of the NecroDancer","PlayStation 4",85,8,6.6,50,2016-02-02,"Role-Playing/General/Action RPG","Role-Playing",8.5,"ALTO","MEDIO",1.9,1.9,1
"Battlefield 4","PlayStation 4",85,18,7.1,2003,2013-11-12,"Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade","Action",8.5,"ALTO","MEDIO",1.4,1.4,1
"Life is Strange","PlayStation 4",85,23,8.6,1769,2015-10-20,"Sci-Fi/Action Adventure/General","Sci-Fi",8.5,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,1
"Nioh: Bloodshed's End","PlayStation 4",85,8,7.6,58,2017-09-26,"Role-Playing/Action RPG","Role-Playing",8.5,"ALTO","ALTO",0.9,0.9,1
"Final Fantasy IX","PlayStation 4",85,14,8.5,339,2017-09-19,"Role-Playing/Japanese-Style","Role-Playing",8.5,"ALTO","ALTO",0,0,1
"VA-11 Hall-A: Cyberpunk Bartender Action","PlayStation 4",85,7,6.5,33,2019-05-02,"Simulation/General","Simulation",8.5,"ALTO","MEDIO",2,2,1
"DJMax Respect","PlayStation 4",85,11,7.8,47,2018-03-06,"Action/Rhythm/Music","Action",8.5,"ALTO","ALTO",0.7,0.7,1
"Resogun: Defenders","PlayStation 4",85,10,7.2,80,2015-02-17,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.5,"ALTO","MEDIO",1.3,1.3,1
"Ys VIII: Lacrimosa of DANA","PlayStation 4",85,39,8.4,235,2017-09-12,"Role-Playing/Action RPG","Role-Playing",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,1
"Yakuza 0","PlayStation 4",85,87,8.5,1125,2017-01-24,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0,0,1
"MLB The Show 17","PlayStation 4",85,45,6.9,155,2017-03-28,"Sports/Team/Baseball/Sim","Sports",8.5,"ALTO","MEDIO",1.6,1.6,1
"Super Mega Baseball","PlayStation 4",85,14,7.2,75,2014-12-16,"Traditional/Sports/Team/Baseball/Arcade","Traditional",8.5,"ALTO","MEDIO",1.3,1.3,1
"Yakuza Kiwami 2","PlayStation 4",85,69,8.3,293,2018-08-28,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Rogue Legacy","PlayStation 4",85,22,7.7,259,2014-07-29,"Action/Platformer/Platformer/2D/2D","Action",8.5,"ALTO","ALTO",0.8,0.8,1
"Wipeout: Omega Collection","PlayStation 4",85,53,8,307,2017-06-06,"Racing/Arcade/Futuristic","Racing",8.5,"ALTO","ALTO",0.5,0.5,1
"Mortal Kombat XL","PlayStation 4",85,12,7.7,516,2016-03-01,"Action/Fighting/2D","Action",8.5,"ALTO","ALTO",0.8,0.8,1
"Ratchet & Clank","PlayStation 4",85,101,8.5,2040,2016-04-12,"Action/Platformer/3D","Action",8.5,"ALTO","ALTO",0,0,1
"MLB The Show 16","PlayStation 4",85,37,7.3,184,2016-03-29,"Sports/Team/Baseball/Arcade/Sim","Sports",8.5,"ALTO","MEDIO",1.2,1.2,1
"Valkyria Chronicles 4","PlayStation 4",85,46,8.1,173,2018-09-25,"Strategy/Turn-Based/Tactics","Strategy",8.5,"ALTO","ALTO",0.4,0.4,1
"Moss","PlayStation 4",85,64,8,194,2018-02-27,"Action Adventure/General","Action Adventure",8.5,"ALTO","ALTO",0.5,0.5,1
