"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Call of Duty: Black Ops 4","PlayStation 4",83,72,4,1580,2018-10-12,"Action/Shooter/First-Person/Tactical","Action",8.3,"ALTO","BAIXO",4.3,4.3,0
"Guacamelee! 2","PlayStation 4",83,68,8.1,92,2018-08-21,"Action/Platformer/2D","Action",8.3,"ALTO","ALTO",0.200000000000001,0.200000000000001,0
"Bloodstained: Ritual of the Night","PlayStation 4",83,54,8.4,461,2019-06-18,"Action/Platformer/2D/Role-Playing/Action RPG","Action",8.3,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,0
"Crash Team Racing: Nitro-Fueled","PlayStation 4",83,75,6.9,706,2019-06-21,"Racing/Arcade/Automobile","Racing",8.3,"ALTO","MEDIO",1.4,1.4,0
"Kingdom Hearts III","PlayStation 4",83,88,8,2321,2019-01-29,"Action RPG/Action Adventure/Fantasy/Role-Playing/Action RPG","Action RPG",8.3,"ALTO","ALTO",0.300000000000001,0.300000000000001,0
"Prey: Mooncrash","PlayStation 4",83,12,7.1,51,2018-06-11,"Action/Shooter/First-Person/Arcade","Action",8.3,"ALTO","MEDIO",1.2,1.2,0
"Resident Evil HD Remaster","PlayStation 4",83,49,8.5,834,2015-01-20,"Horror/Action Adventure/Survival","Horror",8.3,"ALTO","ALTO",-0.199999999999999,0.199999999999999,0
"Yoku's Island Express","PlayStation 4",83,11,7.5,29,2018-05-29,"Action/Pinball","Action",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Metro Redux","PlayStation 4",83,30,8,763,2014-08-26,"Action/Miscellaneous/Shooter/Compilation/First-Person/Sci-Fi","Action",8.3,"ALTO","ALTO",0.300000000000001,0.300000000000001,0
"Call of Duty: Advanced Warfare","PlayStation 4",83,39,5.7,1651,2014-11-03,"Action/Shooter/First-Person/Modern/Arcade","Action",8.3,"ALTO","MEDIO",2.6,2.6,0
"Project CARS","PlayStation 4",83,37,6.6,430,2015-05-12,"Driving/Racing/Simulation/General/Automobile","Driving",8.3,"ALTO","MEDIO",1.7,1.7,0
"FIFA 19","PlayStation 4",83,67,2,1167,2018-09-25,"Sports/Team/Soccer/Sim","Sports",8.3,"ALTO","BAIXO",6.3,6.3,0
"Mortal Kombat X","PlayStation 4",83,81,7.8,1065,2015-04-14,"Action/Fighting/2D/3D","Action",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,0
"NBA 2K15","PlayStation 4",83,50,6.9,305,2014-10-07,"Sports/Traditional/Team/Basketball/Sim","Sports",8.3,"ALTO","MEDIO",1.4,1.4,0
"Madden NFL 16","PlayStation 4",83,37,5.7,197,2015-08-25,"Sports/Team/Football/Sim","Sports",8.3,"ALTO","MEDIO",2.6,2.6,0
"SUPERHOT","PlayStation 4",83,14,7.5,62,2017-07-21,"Action/Shooter/First-Person/Tactical","Action",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Street Fighter: 30th Anniversary Collection","PlayStation 4",83,26,7.1,69,2018-05-29,"Miscellaneous/Compilation","Miscellaneous",8.3,"ALTO","MEDIO",1.2,1.2,0
"Assassin's Creed Odyssey","PlayStation 4",83,86,6.4,2819,2018-10-02,"Action Adventure/Open-World","Action Adventure",8.3,"ALTO","MEDIO",1.9,1.9,0
"Laser League","PlayStation 4",82,27,6.5,30,2018-05-10,"Sports/Team/Futuristic","Sports",8.2,"ALTO","MEDIO",1.7,1.7,0
"Watch Dogs 2","PlayStation 4",82,95,7.6,1579,2016-11-15,"Action Adventure/Open-World","Action Adventure",8.2,"ALTO","ALTO",0.6,0.6,0
"Hand of Fate 2","PlayStation 4",82,14,7.5,21,2017-11-07,"Miscellaneous/Board / Card Game","Miscellaneous",8.2,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"FIFA 16","PlayStation 4",82,42,4.4,1002,2015-09-22,"Sports/Team/Soccer/Sim","Sports",8.2,"ALTO","BAIXO",3.8,3.8,0
"Wreckfest","PlayStation 4",82,23,7,138,2019-08-27,"Racing/General/Arcade/Automobile","Racing",8.2,"ALTO","MEDIO",1.2,1.2,0
"Outer Wilds","PlayStation 4",82,8,7.5,128,2019-10-15,"Action Adventure/Open-World","Action Adventure",8.2,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Project CARS 2","PlayStation 4",82,44,6.1,190,2017-09-22,"Racing/Simulation/Automobile","Racing",8.2,"ALTO","MEDIO",2.1,2.1,0
"Borderlands: The Handsome Collection","PlayStation 4",82,49,7.8,557,2015-03-24,"Miscellaneous/Compilation","Miscellaneous",8.2,"ALTO","ALTO",0.399999999999999,0.399999999999999,0
"Tom Clancy's The Division 2","PlayStation 4",82,56,6.2,1468,2019-03-12,"First-Person/Action/Shooter/Third-Person/Tactical","First-Person",8.2,"ALTO","MEDIO",2,2,0
"Madden NFL 18","PlayStation 4",82,40,3.5,151,2017-08-22,"Sports/Team/Football/Sim","Sports",8.2,"ALTO","BAIXO",4.7,4.7,0
"Madden NFL 17","PlayStation 4",82,35,4.2,154,2016-08-23,"Sports/Team/Football/Sim","Sports",8.2,"ALTO","BAIXO",4,4,0
"F1 2016","PlayStation 4",82,49,7.9,126,2016-08-19,"Racing/Simulation/Automobile","Racing",8.2,"ALTO","ALTO",0.299999999999999,0.299999999999999,0
"Destiny 2: Forsaken","PlayStation 4",82,41,6.4,290,2018-09-04,"Action/Shooter/First-Person/Arcade","Action",8.2,"ALTO","MEDIO",1.8,1.8,0
"Yooka-Laylee and the Impossible Lair","PlayStation 4",82,36,7.1,95,2019-10-08,"Action/Platformer/2D","Action",8.2,"ALTO","MEDIO",1.1,1.1,0
"N++","PlayStation 4",82,47,6.6,69,2015-07-28,"Platformer/2D/Action/Platformer/2D","Platformer",8.2,"ALTO","MEDIO",1.6,1.6,0
"Pro Evolution Soccer 2015","PlayStation 4",82,56,7.1,404,2014-11-11,"Action/General/Sports/Traditional/Team/Soccer/Sim","Action",8.2,"ALTO","MEDIO",1.1,1.1,0
"Hitman 2","PlayStation 4",82,70,8.3,664,2018-11-09,"Action Adventure/General","Action Adventure",8.2,"ALTO","ALTO",-0.100000000000001,0.100000000000001,0
"Resident Evil 4","PlayStation 4",82,20,8.3,528,2016-08-30,"Action Adventure/Survival","Action Adventure",8.2,"ALTO","ALTO",-0.100000000000001,0.100000000000001,0
"Mortal Kombat 11","PlayStation 4",82,85,3.6,2030,2019-04-23,"Action/Fighting/2D","Action",8.2,"ALTO","BAIXO",4.6,4.6,0
"Spyro Reignited Trilogy","PlayStation 4",82,80,8.1,757,2018-11-13,"Miscellaneous/Compilation","Miscellaneous",8.2,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"Control","PlayStation 4",82,63,7.3,1575,2019-08-27,"Action Adventure/General","Action Adventure",8.2,"ALTO","MEDIO",0.899999999999999,0.899999999999999,0
"eFootball PES 2020","PlayStation 4",82,54,7.6,959,2019-09-10,"Sports/Team/Soccer/Sim","Sports",8.2,"ALTO","ALTO",0.6,0.6,0
"Dishonored: Death of the Outsider","PlayStation 4",82,47,7.1,181,2017-09-15,"Action Adventure/General","Action Adventure",8.2,"ALTO","MEDIO",1.1,1.1,0
