"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Metro Redux","Xbox One",84,19,8,242,2014-08-26,"Action/Miscellaneous/Shooter/Compilation/First-Person/Sci-Fi","Action",8.4,"ALTO","ALTO",0.4,0.4,0
"Yooka-Laylee and the Impossible Lair","Xbox One",84,14,6.4,43,2019-10-08,"Action/Platformer/2D","Action",8.4,"ALTO","MEDIO",2,2,0
"Moonlighter","Xbox One",84,7,7.5,55,2018-05-29,"Role-Playing/Action RPG","Role-Playing",8.4,"ALTO","ALTO",0.9,0.9,0
"Assault Android Cactus","Xbox One",84,7,5.9,14,2017-11-07,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",8.4,"ALTO","MEDIO",2.5,2.5,0
"Hitman 2","Xbox One",84,25,7.3,117,2018-11-09,"Action Adventure/General","Action Adventure",8.4,"ALTO","MEDIO",1.1,1.1,0
"Madden NFL 16","Xbox One",84,23,6,131,2015-08-25,"Sports/Team/Football/Sim","Sports",8.4,"ALTO","MEDIO",2.4,2.4,0
"Control","Xbox One",84,31,7.3,284,2019-08-27,"Action Adventure/General","Action Adventure",8.4,"ALTO","MEDIO",1.1,1.1,0
"FIFA 16","Xbox One",84,45,4.4,480,2015-09-22,"Sports/Team/Soccer/Sim","Sports",8.4,"ALTO","BAIXO",4,4,0
"Final Fantasy XV","Xbox One",83,13,7.8,720,2016-11-29,"Action RPG/Role-Playing/Action RPG","Action RPG",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,0
"Overcooked! 2","Xbox One",83,14,6.3,28,2018-08-07,"Action/Arcade","Action",8.3,"ALTO","MEDIO",2,2,0
"FIFA 18","Xbox One",83,21,3.2,218,2017-09-26,"Sports/Team/Soccer/Sim","Sports",8.3,"ALTO","BAIXO",5.1,5.1,0
"Sonic Mania","Xbox One",83,17,7.5,182,2017-08-15,"Action/Platformer/2D","Action",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Wreckfest","Xbox One",83,21,6.5,73,2019-08-26,"Racing/General/Arcade/Automobile","Racing",8.3,"ALTO","MEDIO",1.8,1.8,0
"Forgotton Anne","Xbox One",83,11,6.3,23,2018-05-15,"Adventure/General","Adventure",8.3,"ALTO","MEDIO",2,2,0
"NBA 2K19","Xbox One",83,18,2.8,106,2018-09-07,"Sports/Team/Basketball/Arcade/Sim","Sports",8.3,"ALTO","BAIXO",5.5,5.5,0
"Madden NFL 17","Xbox One",83,30,5.3,60,2016-08-23,"Sports/Team/Football/Sim","Sports",8.3,"ALTO","MEDIO",3,3,0
"SteamWorld Dig","Xbox One",83,8,7.8,19,2015-06-05,"Action/Action Adventure/General/Platformer/2D","Action",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,0
"Deus Ex: Mankind Divided","Xbox One",83,18,7.5,251,2016-08-23,"Action Adventure/General","Action Adventure",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Castle Crashers Remastered","Xbox One",83,16,7.8,49,2015-09-09,"Action/Beat-'Em-Up/2D","Action",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,1
"SUPERHOT","Xbox One",83,18,7.8,97,2016-05-03,"Modern/Action/Shooter/First-Person/Tactical","Modern",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,0
"Path of Exile: The Fall of Oriath","Xbox One",83,8,7.5,34,2017-08-24,"Role-Playing/Action RPG","Role-Playing",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
